역명,호선,측정일시,초미세먼지(내부),운행횟수,자치구,초미세먼지(외부)
남태령(4),4호선,2021042719,81.9,307.0,서초구,11.0
고속터미널(7),7호선,2021042719,36.8,420.0,서초구,11.0
내방(7),7호선,2021042719,34.3,420.0,서초구,11.0
반포(7),7호선,2021042719,20.8,420.0,서초구,11.0
교대(2),2호선,2021042720,39.3,524.0,서초구,12.0
방배(2),2호선,2021042720,87.6,524.0,서초구,12.0
서초(2),2호선,2021042720,41.9,524.0,서초구,12.0
고속터미널(3),3호선,2021042720,21.3,272.0,서초구,12.0
교대(3),3호선,2021042720,17.7,272.0,서초구,12.0
남부터미널(3),3호선,2021042720,18.5,272.0,서초구,12.0
양재(3),3호선,2021042720,58.7,272.0,서초구,12.0
잠원(3),3호선,2021042720,38.0,272.0,서초구,12.0
남태령(4),4호선,2021042720,73.2,307.0,서초구,12.0
고속터미널(7),7호선,2021042720,19.2,420.0,서초구,12.0
내방(7),7호선,2021042720,23.3,420.0,서초구,12.0
반포(7),7호선,2021042720,16.9,420.0,서초구,12.0
교대(2),2호선,2021042721,35.4,524.0,서초구,10.0
방배(2),2호선,2021042721,65.3,524.0,서초구,10.0
서초(2),2호선,2021042721,36.6,524.0,서초구,10.0
고속터미널(3),3호선,2021042721,14.6,272.0,서초구,10.0
교대(3),3호선,2021042721,11.8,272.0,서초구,10.0
남부터미널(3),3호선,2021042721,17.1,272.0,서초구,10.0
양재(3),3호선,2021042721,39.8,272.0,서초구,10.0
잠원(3),3호선,2021042721,32.4,272.0,서초구,10.0
남태령(4),4호선,2021042721,69.6,307.0,서초구,10.0
고속터미널(7),7호선,2021042721,20.3,420.0,서초구,10.0
내방(7),7호선,2021042721,27.4,420.0,서초구,10.0
반포(7),7호선,2021042721,16.8,420.0,서초구,10.0
교대(2),2호선,2021042722,23.3,524.0,서초구,6.0
방배(2),2호선,2021042722,63.3,524.0,서초구,6.0
서초(2),2호선,2021042722,29.6,524.0,서초구,6.0
고속터미널(3),3호선,2021042722,15.6,272.0,서초구,6.0
교대(3),3호선,2021042722,11.3,272.0,서초구,6.0
남부터미널(3),3호선,2021042722,16.6,272.0,서초구,6.0
양재(3),3호선,2021042722,29.0,272.0,서초구,6.0
잠원(3),3호선,2021042722,19.7,272.0,서초구,6.0
남태령(4),4호선,2021042722,65.2,307.0,서초구,6.0
고속터미널(7),7호선,2021042722,26.1,420.0,서초구,6.0
내방(7),7호선,2021042722,30.8,420.0,서초구,6.0
반포(7),7호선,2021042722,18.5,420.0,서초구,6.0
교대(2),2호선,2021042723,12.7,524.0,서초구,8.0
방배(2),2호선,2021042723,64.4,524.0,서초구,8.0
서초(2),2호선,2021042723,23.0,524.0,서초구,8.0
고속터미널(3),3호선,2021042723,13.6,272.0,서초구,8.0
교대(3),3호선,2021042723,7.1,272.0,서초구,8.0
남부터미널(3),3호선,2021042723,17.5,272.0,서초구,8.0
양재(3),3호선,2021042723,23.7,272.0,서초구,8.0
잠원(3),3호선,2021042723,20.9,272.0,서초구,8.0
남태령(4),4호선,2021042723,51.4,307.0,서초구,8.0
고속터미널(7),7호선,2021042723,19.2,420.0,서초구,8.0
내방(7),7호선,2021042723,25.1,420.0,서초구,8.0
반포(7),7호선,2021042723,13.9,420.0,서초구,8.0
낙성대(2),2호선,2021042700,50.6,524.0,관악구,15.0
봉천(2),2호선,2021042700,27.1,524.0,관악구,15.0
서울대입구(2),2호선,2021042700,34.8,524.0,관악구,15.0
신림(2),2호선,2021042700,31.8,524.0,관악구,15.0
낙성대(2),2호선,2021042701,38.4,524.0,관악구,16.0
봉천(2),2호선,2021042701,26.7,524.0,관악구,16.0
서울대입구(2),2호선,2021042701,25.6,524.0,관악구,16.0
신림(2),2호선,2021042701,23.2,524.0,관악구,16.0
낙성대(2),2호선,2021042702,17.6,524.0,관악구,15.0
봉천(2),2호선,2021042702,25.8,524.0,관악구,15.0
서울대입구(2),2호선,2021042702,19.3,524.0,관악구,15.0
신림(2),2호선,2021042702,25.8,524.0,관악구,15.0
낙성대(2),2호선,2021042703,34.0,524.0,관악구,14.0
봉천(2),2호선,2021042703,24.8,524.0,관악구,14.0
서울대입구(2),2호선,2021042703,27.7,524.0,관악구,14.0
신림(2),2호선,2021042703,22.1,524.0,관악구,14.0
낙성대(2),2호선,2021042704,22.4,524.0,관악구,16.0
봉천(2),2호선,2021042704,24.2,524.0,관악구,16.0
서울대입구(2),2호선,2021042704,20.9,524.0,관악구,16.0
신림(2),2호선,2021042704,24.0,524.0,관악구,16.0
낙성대(2),2호선,2021042705,11.9,524.0,관악구,19.0
봉천(2),2호선,2021042705,16.0,524.0,관악구,19.0
서울대입구(2),2호선,2021042705,13.2,524.0,관악구,19.0
신림(2),2호선,2021042705,13.8,524.0,관악구,19.0
낙성대(2),2호선,2021042706,20.0,524.0,관악구,15.0
봉천(2),2호선,2021042706,23.9,524.0,관악구,15.0
서울대입구(2),2호선,2021042706,20.4,524.0,관악구,15.0
신림(2),2호선,2021042706,19.3,524.0,관악구,15.0
낙성대(2),2호선,2021042707,53.6,524.0,관악구,12.0
봉천(2),2호선,2021042707,33.9,524.0,관악구,12.0
서울대입구(2),2호선,2021042707,26.5,524.0,관악구,12.0
신림(2),2호선,2021042707,36.3,524.0,관악구,12.0
낙성대(2),2호선,2021042708,68.2,524.0,관악구,11.0
봉천(2),2호선,2021042708,37.0,524.0,관악구,11.0
서울대입구(2),2호선,2021042708,22.6,524.0,관악구,11.0
신림(2),2호선,2021042708,43.1,524.0,관악구,11.0
낙성대(2),2호선,2021042709,83.5,524.0,관악구,8.0
봉천(2),2호선,2021042709,38.7,524.0,관악구,8.0
서울대입구(2),2호선,2021042709,27.7,524.0,관악구,8.0
신림(2),2호선,2021042709,52.8,524.0,관악구,8.0
낙성대(2),2호선,2021042710,76.1,524.0,관악구,5.0
봉천(2),2호선,2021042710,36.8,524.0,관악구,5.0
서울대입구(2),2호선,2021042710,30.5,524.0,관악구,5.0
신림(2),2호선,2021042710,49.2,524.0,관악구,5.0
낙성대(2),2호선,2021042711,93.0,524.0,관악구,9.0
봉천(2),2호선,2021042711,33.0,524.0,관악구,9.0
서울대입구(2),2호선,2021042711,26.1,524.0,관악구,9.0
신림(2),2호선,2021042711,41.5,524.0,관악구,9.0
낙성대(2),2호선,2021042712,65.9,524.0,관악구,9.0
봉천(2),2호선,2021042712,32.1,524.0,관악구,9.0
서울대입구(2),2호선,2021042712,24.7,524.0,관악구,9.0
신림(2),2호선,2021042712,40.7,524.0,관악구,9.0
낙성대(2),2호선,2021042713,62.4,524.0,관악구,15.0
봉천(2),2호선,2021042713,35.7,524.0,관악구,15.0
서울대입구(2),2호선,2021042713,34.2,524.0,관악구,15.0
신림(2),2호선,2021042713,42.9,524.0,관악구,15.0
낙성대(2),2호선,2021042714,60.5,524.0,관악구,16.0
봉천(2),2호선,2021042714,35.2,524.0,관악구,16.0
서울대입구(2),2호선,2021042714,37.5,524.0,관악구,16.0
신림(2),2호선,2021042714,41.3,524.0,관악구,16.0
낙성대(2),2호선,2021042715,59.2,524.0,관악구,15.0
봉천(2),2호선,2021042715,36.1,524.0,관악구,15.0
서울대입구(2),2호선,2021042715,35.0,524.0,관악구,15.0
신림(2),2호선,2021042715,45.6,524.0,관악구,15.0
낙성대(2),2호선,2021042716,67.0,524.0,관악구,15.0
봉천(2),2호선,2021042716,45.2,524.0,관악구,15.0
서울대입구(2),2호선,2021042716,33.8,524.0,관악구,15.0
신림(2),2호선,2021042716,39.5,524.0,관악구,15.0
낙성대(2),2호선,2021042717,55.1,524.0,관악구,18.0
봉천(2),2호선,2021042717,43.5,524.0,관악구,18.0
서울대입구(2),2호선,2021042717,29.9,524.0,관악구,18.0
신림(2),2호선,2021042717,38.4,524.0,관악구,18.0
낙성대(2),2호선,2021042718,64.4,524.0,관악구,12.0
봉천(2),2호선,2021042718,42.7,524.0,관악구,12.0
서울대입구(2),2호선,2021042718,31.8,524.0,관악구,12.0
신림(2),2호선,2021042718,47.4,524.0,관악구,12.0
낙성대(2),2호선,2021042719,102.6,524.0,관악구,14.0
봉천(2),2호선,2021042719,46.1,524.0,관악구,14.0
서울대입구(2),2호선,2021042719,33.5,524.0,관악구,14.0
신림(2),2호선,2021042719,66.6,524.0,관악구,14.0
낙성대(2),2호선,2021042720,112.0,524.0,관악구,14.0
봉천(2),2호선,2021042720,38.5,524.0,관악구,14.0
서울대입구(2),2호선,2021042720,33.6,524.0,관악구,14.0
신림(2),2호선,2021042720,68.5,524.0,관악구,14.0
낙성대(2),2호선,2021042721,93.6,524.0,관악구,14.0
봉천(2),2호선,2021042721,35.0,524.0,관악구,14.0
서울대입구(2),2호선,2021042721,26.7,524.0,관악구,14.0
신림(2),2호선,2021042721,58.2,524.0,관악구,14.0
낙성대(2),2호선,2021042722,71.3,524.0,관악구,10.0
봉천(2),2호선,2021042722,32.1,524.0,관악구,10.0
서울대입구(2),2호선,2021042722,24.7,524.0,관악구,10.0
신림(2),2호선,2021042722,49.0,524.0,관악구,10.0
낙성대(2),2호선,2021042723,45.9,524.0,관악구,9.0
봉천(2),2호선,2021042723,23.5,524.0,관악구,9.0
서울대입구(2),2호선,2021042723,23.3,524.0,관악구,9.0
신림(2),2호선,2021042723,44.7,524.0,관악구,9.0
도림천(2),2호선,2021042700,66.7,212.0,구로구,17.0
신도림(2),2호선,2021042700,11.5,736.0,구로구,17.0
남구로(7),7호선,2021042700,33.2,420.0,구로구,17.0
온수(7),7호선,2021042700,18.5,420.0,구로구,17.0
천왕(7),7호선,2021042700,12.9,420.0,구로구,17.0
도림천(2),2호선,2021042701,97.8,212.0,구로구,15.0
신도림(2),2호선,2021042701,19.6,736.0,구로구,15.0
남구로(7),7호선,2021042701,28.7,420.0,구로구,15.0
온수(7),7호선,2021042701,17.2,420.0,구로구,15.0
천왕(7),7호선,2021042701,14.5,420.0,구로구,15.0
도림천(2),2호선,2021042702,82.2,212.0,구로구,20.0
신도림(2),2호선,2021042702,23.2,736.0,구로구,20.0
남구로(7),7호선,2021042702,15.5,420.0,구로구,20.0
온수(7),7호선,2021042702,15.3,420.0,구로구,20.0
천왕(7),7호선,2021042702,12.6,420.0,구로구,20.0
도림천(2),2호선,2021042703,85.2,212.0,구로구,20.0
신도림(2),2호선,2021042703,28.0,736.0,구로구,20.0
남구로(7),7호선,2021042703,18.3,420.0,구로구,20.0
온수(7),7호선,2021042703,17.0,420.0,구로구,20.0
천왕(7),7호선,2021042703,8.3,420.0,구로구,20.0
도림천(2),2호선,2021042704,47.6,212.0,구로구,20.0
신도림(2),2호선,2021042704,38.3,736.0,구로구,20.0
남구로(7),7호선,2021042704,16.1,420.0,구로구,20.0
온수(7),7호선,2021042704,15.5,420.0,구로구,20.0
천왕(7),7호선,2021042704,15.6,420.0,구로구,20.0
도림천(2),2호선,2021042705,24.5,212.0,구로구,20.0
신도림(2),2호선,2021042705,25.9,736.0,구로구,20.0
남구로(7),7호선,2021042705,12.1,420.0,구로구,20.0
온수(7),7호선,2021042705,16.0,420.0,구로구,20.0
천왕(7),7호선,2021042705,14.2,420.0,구로구,20.0
도림천(2),2호선,2021042706,33.9,212.0,구로구,18.0
신도림(2),2호선,2021042706,24.7,736.0,구로구,18.0
남구로(7),7호선,2021042706,17.5,420.0,구로구,18.0
온수(7),7호선,2021042706,24.4,420.0,구로구,18.0
천왕(7),7호선,2021042706,17.2,420.0,구로구,18.0
도림천(2),2호선,2021042707,38.1,212.0,구로구,18.0
신도림(2),2호선,2021042707,20.4,736.0,구로구,18.0
남구로(7),7호선,2021042707,20.3,420.0,구로구,18.0
온수(7),7호선,2021042707,19.5,420.0,구로구,18.0
천왕(7),7호선,2021042707,18.7,420.0,구로구,18.0
도림천(2),2호선,2021042708,33.9,212.0,구로구,15.0
신도림(2),2호선,2021042708,28.4,736.0,구로구,15.0
남구로(7),7호선,2021042708,23.8,420.0,구로구,15.0
온수(7),7호선,2021042708,18.2,420.0,구로구,15.0
천왕(7),7호선,2021042708,27.8,420.0,구로구,15.0
도림천(2),2호선,2021042709,30.5,212.0,구로구,13.0
신도림(2),2호선,2021042709,24.9,736.0,구로구,13.0
남구로(7),7호선,2021042709,40.6,420.0,구로구,13.0
온수(7),7호선,2021042709,15.1,420.0,구로구,13.0
천왕(7),7호선,2021042709,38.1,420.0,구로구,13.0
도림천(2),2호선,2021042710,53.8,212.0,구로구,11.0
신도림(2),2호선,2021042710,24.8,736.0,구로구,11.0
남구로(7),7호선,2021042710,38.3,420.0,구로구,11.0
온수(7),7호선,2021042710,9.0,420.0,구로구,11.0
천왕(7),7호선,2021042710,20.0,420.0,구로구,11.0
도림천(2),2호선,2021042711,64.2,212.0,구로구,16.0
신도림(2),2호선,2021042711,24.7,736.0,구로구,16.0
남구로(7),7호선,2021042711,39.7,420.0,구로구,16.0
온수(7),7호선,2021042711,13.5,420.0,구로구,16.0
천왕(7),7호선,2021042711,26.0,420.0,구로구,16.0
도림천(2),2호선,2021042712,52.2,212.0,구로구,13.0
신도림(2),2호선,2021042712,20.6,736.0,구로구,13.0
남구로(7),7호선,2021042712,41.9,420.0,구로구,13.0
온수(7),7호선,2021042712,19.2,420.0,구로구,13.0
천왕(7),7호선,2021042712,43.6,420.0,구로구,13.0
도림천(2),2호선,2021042713,30.2,212.0,구로구,19.0
신도림(2),2호선,2021042713,25.6,736.0,구로구,19.0
남구로(7),7호선,2021042713,31.9,420.0,구로구,19.0
온수(7),7호선,2021042713,19.2,420.0,구로구,19.0
천왕(7),7호선,2021042713,36.9,420.0,구로구,19.0
도림천(2),2호선,2021042714,25.9,212.0,구로구,22.0
신도림(2),2호선,2021042714,24.4,736.0,구로구,22.0
